Thread ID, Time, Message Type,n,r,k,case
Thread ID: 1, Time: 09:38:51:151 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 2, Time: 09:38:52:160 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 1, Time: 09:38:53:172 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 2, Time: 09:38:54:180 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 1, Time: 09:38:55:186 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 2, Time: 09:38:56:195 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 1, Time: 09:38:57:202 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 2, Time: 09:38:58:210 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 1, Time: 09:38:59:217 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 2, Time: 09:39:00:225 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 1, Time: 09:38:51:151 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 2, Time: 09:38:52:160 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 09:38:53:172 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 2, Time: 09:38:54:180 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 09:38:55:186 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 2, Time: 09:38:56:195 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 09:38:57:202 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 2, Time: 09:38:58:210 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 09:38:59:217 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 2, Time: 09:39:00:225 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 2, Time: 09:39:01:371 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 09:39:02:379 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 4, Time: 09:39:03:385 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 3, Time: 09:39:04:393 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 2, Time: 09:39:05:400 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 09:39:06:405 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 4, Time: 09:39:07:413 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 3, Time: 09:39:08:420 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 2, Time: 09:39:09:428 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 09:39:10:434 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 4, Time: 09:39:11:442 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 3, Time: 09:39:12:449 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 2, Time: 09:39:13:456 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 09:39:14:463 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 4, Time: 09:39:15:469 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 3, Time: 09:39:16:476 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 2, Time: 09:39:17:482 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 09:39:18:489 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 4, Time: 09:39:19:496 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 3, Time: 09:39:20:503 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 09:38:51:151 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:38:52:160 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 09:38:53:172 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:38:54:180 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 09:38:55:186 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:38:56:195 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 09:38:57:202 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:38:58:210 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 09:38:59:217 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:39:00:225 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:39:01:371 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 09:39:02:379 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 4, Time: 09:39:03:385 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 09:39:04:393 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:39:05:400 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 09:39:06:405 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 4, Time: 09:39:07:413 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 09:39:08:420 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:39:09:428 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 09:39:10:434 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 4, Time: 09:39:11:442 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 09:39:12:449 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:39:13:456 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 09:39:14:463 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 4, Time: 09:39:15:469 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 09:39:16:476 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:39:17:482 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 09:39:18:489 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 4, Time: 09:39:19:496 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 09:39:20:503 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 09:39:21:658 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 6, Time: 09:39:22:667 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:39:23:674 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 5, Time: 09:39:24:682 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 8, Time: 09:39:25:688 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 09:39:26:695 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 4, Time: 09:39:27:702 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 7, Time: 09:39:28:711 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 09:39:29:717 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 6, Time: 09:39:30:725 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:39:31:731 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 5, Time: 09:39:32:738 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 8, Time: 09:39:33:745 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 09:39:34:751 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 4, Time: 09:39:35:757 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 7, Time: 09:39:36:765 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 09:39:37:771 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 6, Time: 09:39:38:780 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:39:39:785 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 5, Time: 09:39:40:792 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 8, Time: 09:39:41:798 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 09:39:42:804 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 4, Time: 09:39:43:811 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 7, Time: 09:39:44:817 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 09:39:45:824 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 6, Time: 09:39:46:831 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:39:47:837 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 5, Time: 09:39:48:845 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 8, Time: 09:39:49:851 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 09:39:50:859 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 4, Time: 09:39:51:865 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 7, Time: 09:39:52:872 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 09:39:53:879 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 6, Time: 09:39:54:885 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 09:39:55:893 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 5, Time: 09:39:56:900 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 8, Time: 09:39:57:907 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 09:39:58:914 19/07/2023, sent GRANT message,8,5,1,2
