Thread ID, Time, Message Type,n,r,k,case
Thread ID: 4, Time: 10:34:20:210 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 2, Time: 10:34:20:220 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 3, Time: 10:34:20:227 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 1, Time: 10:34:20:237 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 2, Time: 10:34:20:281 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 4, Time: 10:34:20:294 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 3, Time: 10:34:20:304 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 1, Time: 10:34:20:315 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 2, Time: 10:34:20:336 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 4, Time: 10:34:20:349 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 3, Time: 10:34:20:357 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 1, Time: 10:34:20:377 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 3, Time: 10:34:20:600 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 1, Time: 10:34:20:614 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 8, Time: 10:34:20:624 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 7, Time: 10:34:20:638 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 6, Time: 10:34:20:649 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 4, Time: 10:34:20:660 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 2, Time: 10:34:20:673 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 5, Time: 10:34:20:686 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 8, Time: 10:34:20:693 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 7, Time: 10:34:20:704 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 6, Time: 10:34:20:711 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 1, Time: 10:34:20:721 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 3, Time: 10:34:20:730 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 4, Time: 10:34:20:739 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 2, Time: 10:34:20:751 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 5, Time: 10:34:20:758 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 8, Time: 10:34:20:771 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 7, Time: 10:34:20:781 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 6, Time: 10:34:20:797 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 1, Time: 10:34:20:808 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 3, Time: 10:34:20:820 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 4, Time: 10:34:20:833 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 2, Time: 10:34:20:842 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 5, Time: 10:34:20:855 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 4, Time: 10:34:21:140 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 14, Time: 10:34:21:167 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 6, Time: 10:34:21:174 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 5, Time: 10:34:21:186 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 7, Time: 10:34:21:198 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 10, Time: 10:34:21:207 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 3, Time: 10:34:21:221 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 9, Time: 10:34:21:234 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 11, Time: 10:34:21:242 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 15, Time: 10:34:21:253 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 8, Time: 10:34:21:263 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 16, Time: 10:34:21:273 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 1, Time: 10:34:21:284 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 2, Time: 10:34:21:291 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 13, Time: 10:34:21:301 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 12, Time: 10:34:21:308 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 6, Time: 10:34:21:320 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 5, Time: 10:34:21:329 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 7, Time: 10:34:21:340 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 4, Time: 10:34:21:354 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 10, Time: 10:34:21:371 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 14, Time: 10:34:21:386 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 3, Time: 10:34:21:401 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 9, Time: 10:34:21:415 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 11, Time: 10:34:21:424 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 15, Time: 10:34:21:437 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 8, Time: 10:34:21:449 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 16, Time: 10:34:21:457 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 1, Time: 10:34:21:471 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 2, Time: 10:34:21:483 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 13, Time: 10:34:21:491 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 12, Time: 10:34:21:502 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 6, Time: 10:34:21:510 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 5, Time: 10:34:21:520 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 7, Time: 10:34:21:590 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 4, Time: 10:34:21:601 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 10, Time: 10:34:21:621 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 14, Time: 10:34:21:634 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 3, Time: 10:34:21:649 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 9, Time: 10:34:21:656 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 11, Time: 10:34:21:669 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 15, Time: 10:34:21:682 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 8, Time: 10:34:21:691 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 16, Time: 10:34:21:702 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 1, Time: 10:34:21:713 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 2, Time: 10:34:21:724 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 13, Time: 10:34:21:737 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 12, Time: 10:34:21:746 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 2, Time: 10:34:19:922 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 10:34:19:928 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 10:34:19:978 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 10:34:19:988 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 10:34:20:036 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 10:34:20:045 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 4, Time: 10:34:20:210 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 10:34:20:220 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 3, Time: 10:34:20:227 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 10:34:20:237 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 10:34:20:281 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 4, Time: 10:34:20:294 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 3, Time: 10:34:20:304 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 10:34:20:315 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 10:34:20:336 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 4, Time: 10:34:20:349 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 3, Time: 10:34:20:357 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 10:34:20:377 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 3, Time: 10:34:20:600 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 10:34:20:614 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 8, Time: 10:34:20:624 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 7, Time: 10:34:20:638 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 6, Time: 10:34:20:649 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 4, Time: 10:34:20:660 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 10:34:20:673 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 5, Time: 10:34:20:686 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 8, Time: 10:34:20:693 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 7, Time: 10:34:20:704 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 6, Time: 10:34:20:711 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 10:34:20:721 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 3, Time: 10:34:20:730 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 4, Time: 10:34:20:739 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 10:34:20:751 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 5, Time: 10:34:20:758 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 8, Time: 10:34:20:771 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 7, Time: 10:34:20:781 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 6, Time: 10:34:20:797 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 10:34:20:808 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 3, Time: 10:34:20:820 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 4, Time: 10:34:20:833 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 10:34:20:842 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 5, Time: 10:34:20:855 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 4, Time: 10:34:21:140 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 14, Time: 10:34:21:167 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 6, Time: 10:34:21:174 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 5, Time: 10:34:21:186 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 7, Time: 10:34:21:198 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 10, Time: 10:34:21:207 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 3, Time: 10:34:21:221 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 9, Time: 10:34:21:234 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 11, Time: 10:34:21:242 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 15, Time: 10:34:21:253 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 8, Time: 10:34:21:263 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 16, Time: 10:34:21:273 19/07/2023, sent GRANT message,32,3,0,3
